Geneset	Genes
Mavrikaki et al. Upregulated Genes	PPEF2
Mavrikaki et al. Upregulated Genes	CD109
Mavrikaki et al. Upregulated Genes	UBE2L6
Mavrikaki et al. Upregulated Genes	C2CD2
Mavrikaki et al. Upregulated Genes	ZSCAN12
Mavrikaki et al. Upregulated Genes	EPB41
Mavrikaki et al. Upregulated Genes	TMPRSS3
Mavrikaki et al. Upregulated Genes	AIRE
Mavrikaki et al. Upregulated Genes	DMKN
Mavrikaki et al. Upregulated Genes	PDPN
Mavrikaki et al. Upregulated Genes	FCGR3B
Mavrikaki et al. Upregulated Genes	SPATA18
Mavrikaki et al. Upregulated Genes	S100A9
Mavrikaki et al. Upregulated Genes	YY1AP1
Mavrikaki et al. Upregulated Genes	PPM1K
Mavrikaki et al. Upregulated Genes	IL17RC
Mavrikaki et al. Upregulated Genes	CXCL5
Mavrikaki et al. Upregulated Genes	CDCP1
Mavrikaki et al. Upregulated Genes	RHOBTB3
Mavrikaki et al. Upregulated Genes	IQUB
Mavrikaki et al. Upregulated Genes	CDK12
Mavrikaki et al. Upregulated Genes	ANGPTL4
Mavrikaki et al. Upregulated Genes	COG7
Mavrikaki et al. Upregulated Genes	AHCYL1
Mavrikaki et al. Upregulated Genes	TNIP2
Mavrikaki et al. Upregulated Genes	ZRSR2
Mavrikaki et al. Upregulated Genes	RNASE2
Mavrikaki et al. Upregulated Genes	FPR1
Mavrikaki et al. Upregulated Genes	CYP4F11
Mavrikaki et al. Upregulated Genes	HAP1
Mavrikaki et al. Upregulated Genes	PIFO
Mavrikaki et al. Upregulated Genes	GLIS1
Mavrikaki et al. Upregulated Genes	VWA3A
Mavrikaki et al. Upregulated Genes	LPL
Mavrikaki et al. Upregulated Genes	NUPR1
Mavrikaki et al. Upregulated Genes	TPRN
Mavrikaki et al. Upregulated Genes	LRRC37A3
Mavrikaki et al. Upregulated Genes	DPP7
Mavrikaki et al. Upregulated Genes	OTOS
Mavrikaki et al. Upregulated Genes	SLC26A11
Mavrikaki et al. Upregulated Genes	SGSH
