Geneset	Genes
Gibbs Downregulated Genes	LYPLA2
Gibbs Downregulated Genes	DDX19A
Gibbs Downregulated Genes	KTI12
Gibbs Downregulated Genes	BET1
Gibbs Downregulated Genes	TMEM141
Gibbs Downregulated Genes	DNM3
Gibbs Downregulated Genes	METTL9
Gibbs Downregulated Genes	NACA
Gibbs Downregulated Genes	ELMO1
Gibbs Downregulated Genes	TFG
Gibbs Downregulated Genes	MAFG
Gibbs Downregulated Genes	ZNF473
Gibbs Downregulated Genes	CGREF1
Gibbs Downregulated Genes	KNSTRN
Gibbs Downregulated Genes	MLF2
Gibbs Downregulated Genes	MRPS7
Gibbs Downregulated Genes	TMEM59L
Gibbs Downregulated Genes	GLO1
Gibbs Downregulated Genes	ARHGAP20
Gibbs Downregulated Genes	TMEM237
Gibbs Downregulated Genes	NXPH1
Gibbs Downregulated Genes	NUDT10
Gibbs Downregulated Genes	APEX1
Gibbs Downregulated Genes	PSMA5
Gibbs Downregulated Genes	TBR1
Gibbs Downregulated Genes	RPUSD3
Gibbs Downregulated Genes	WTAP
Gibbs Downregulated Genes	VOPP1
Gibbs Downregulated Genes	RABL3
Gibbs Downregulated Genes	LIMCH1
Gibbs Downregulated Genes	KRR1
Gibbs Downregulated Genes	ETF1
Gibbs Downregulated Genes	PIGC
Gibbs Downregulated Genes	SCO1
Gibbs Downregulated Genes	AP2B1
Gibbs Downregulated Genes	C6orf89
Gibbs Downregulated Genes	KHK
Gibbs Downregulated Genes	BTF3L4
Gibbs Downregulated Genes	CAPZB
Gibbs Downregulated Genes	ELMO2
Gibbs Downregulated Genes	TCERG1
Gibbs Downregulated Genes	GAD1
Gibbs Downregulated Genes	APBB1
Gibbs Downregulated Genes	WNT2
Gibbs Downregulated Genes	HSBP1
Gibbs Downregulated Genes	NOMO2
Gibbs Downregulated Genes	USP48
Gibbs Downregulated Genes	HM13
Gibbs Downregulated Genes	PSMD7
Gibbs Downregulated Genes	MRPL24
Gibbs Downregulated Genes	OPN3
Gibbs Downregulated Genes	COQ7
Gibbs Downregulated Genes	PPP4R4
Gibbs Downregulated Genes	RTCB
Gibbs Downregulated Genes	PTS
Gibbs Downregulated Genes	FTSJ1
Gibbs Downregulated Genes	APLP1
Gibbs Downregulated Genes	PKP4
Gibbs Downregulated Genes	FRRS1L
Gibbs Downregulated Genes	TAC1
Gibbs Downregulated Genes	MRPL45
Gibbs Downregulated Genes	RNF165
Gibbs Downregulated Genes	ERCC3
Gibbs Downregulated Genes	KIAA0825
Gibbs Downregulated Genes	ARMT1
Gibbs Downregulated Genes	AFF4
Gibbs Downregulated Genes	RNF11
Gibbs Downregulated Genes	LMO3
Gibbs Downregulated Genes	HNRNPA0
Gibbs Downregulated Genes	PMEPA1
Gibbs Downregulated Genes	SEMA5A
Gibbs Downregulated Genes	BAD
Gibbs Downregulated Genes	RNASEK
Gibbs Downregulated Genes	RASGRF2
Gibbs Downregulated Genes	MZT2B
Gibbs Downregulated Genes	CTBP1
Gibbs Downregulated Genes	EPB41L4B
Gibbs Downregulated Genes	TXNL4A
Gibbs Downregulated Genes	FAM217B
Gibbs Downregulated Genes	C2orf15
Gibbs Downregulated Genes	STX6
Gibbs Downregulated Genes	GLRB
Gibbs Downregulated Genes	NANS
Gibbs Downregulated Genes	LAMTOR2
Gibbs Downregulated Genes	TMEM38A
Gibbs Downregulated Genes	TERF2IP
Gibbs Downregulated Genes	CTSB
Gibbs Downregulated Genes	TPD52
Gibbs Downregulated Genes	SEC23IP
Gibbs Downregulated Genes	RASL10A
Gibbs Downregulated Genes	SNRPA1
Gibbs Downregulated Genes	CHCHD7
Gibbs Downregulated Genes	PCSK1
Gibbs Downregulated Genes	ICA1L
Gibbs Downregulated Genes	BCL7B
Gibbs Downregulated Genes	SIRT5
Gibbs Downregulated Genes	DHX30
Gibbs Downregulated Genes	GMPR2
Gibbs Downregulated Genes	FBXO9
Gibbs Downregulated Genes	ZNF626
Gibbs Downregulated Genes	ATRX
Gibbs Downregulated Genes	HACL1
Gibbs Downregulated Genes	C22orf39
Gibbs Downregulated Genes	GPR176
Gibbs Downregulated Genes	TMEM259
Gibbs Downregulated Genes	DYNLRB1
Gibbs Downregulated Genes	IER5
Gibbs Downregulated Genes	KCNMB2
Gibbs Downregulated Genes	RHEB
Gibbs Downregulated Genes	JAZF1
Gibbs Downregulated Genes	TAF9B
Gibbs Downregulated Genes	SDHAF4
Gibbs Downregulated Genes	MRPS34
Gibbs Downregulated Genes	MARS2
Gibbs Downregulated Genes	IPO7
Gibbs Downregulated Genes	MDN1
Gibbs Downregulated Genes	STMN2
Gibbs Downregulated Genes	MYBBP1A
Gibbs Downregulated Genes	HSPD1
Gibbs Downregulated Genes	TMEM147
Gibbs Downregulated Genes	DPM1
Gibbs Downregulated Genes	CRYZL1
Gibbs Downregulated Genes	APLP2
Gibbs Downregulated Genes	MRPL54
Gibbs Downregulated Genes	MAPK9
Gibbs Downregulated Genes	IWS1
Gibbs Downregulated Genes	ATRN
Gibbs Downregulated Genes	MMD
Gibbs Downregulated Genes	YARS2
Gibbs Downregulated Genes	PSPH
Gibbs Downregulated Genes	VAC14
Gibbs Downregulated Genes	GALNT9
Gibbs Downregulated Genes	LONRF2
Gibbs Downregulated Genes	PDP1
Gibbs Downregulated Genes	RMDN3
Gibbs Downregulated Genes	NPTXR
Gibbs Downregulated Genes	SMAP2
Gibbs Downregulated Genes	ANAPC5
Gibbs Downregulated Genes	MYADM
Gibbs Downregulated Genes	CLU
Gibbs Downregulated Genes	KCNS3
Gibbs Downregulated Genes	RILPL1
Gibbs Downregulated Genes	CALB2
Gibbs Downregulated Genes	SMG1
Gibbs Downregulated Genes	SNTG1
Gibbs Downregulated Genes	YPEL1
Gibbs Downregulated Genes	IPO4
Gibbs Downregulated Genes	SLC9B2
Gibbs Downregulated Genes	RPL8
Gibbs Downregulated Genes	UFSP1
Gibbs Downregulated Genes	RRAGA
Gibbs Downregulated Genes	ECD
Gibbs Downregulated Genes	RBM4
Gibbs Downregulated Genes	GPAA1
Gibbs Downregulated Genes	FARS2
Gibbs Downregulated Genes	AFMID
Gibbs Downregulated Genes	CHST1
Gibbs Downregulated Genes	CREG2
Gibbs Downregulated Genes	RAB3C
Gibbs Downregulated Genes	C1QBP
Gibbs Downregulated Genes	EI24
Gibbs Downregulated Genes	NUDT21
Gibbs Downregulated Genes	REPS2
Gibbs Downregulated Genes	GORAB
Gibbs Downregulated Genes	UBE2V1
Gibbs Downregulated Genes	NTM
Gibbs Downregulated Genes	SLC4A1AP
Gibbs Downregulated Genes	PEX7
Gibbs Downregulated Genes	AMY2B
Gibbs Downregulated Genes	ZC3H7A
Gibbs Downregulated Genes	DHX36
Gibbs Downregulated Genes	CTSL
Gibbs Downregulated Genes	PRTN3
Gibbs Downregulated Genes	TCEAL1
Gibbs Downregulated Genes	TIGAR
Gibbs Downregulated Genes	RABEP1
Gibbs Downregulated Genes	TBL1XR1
Gibbs Downregulated Genes	MAD2L1
Gibbs Downregulated Genes	GLS2
Gibbs Downregulated Genes	ACVR2A
Gibbs Downregulated Genes	DYNC1I1
Gibbs Downregulated Genes	SEC23A
Gibbs Downregulated Genes	RGS6
Gibbs Downregulated Genes	PDE4DIP
Gibbs Downregulated Genes	GOT2
Gibbs Downregulated Genes	SIAH1
Gibbs Downregulated Genes	PARM1
Gibbs Downregulated Genes	MRPL46
Gibbs Downregulated Genes	COPS4
Gibbs Downregulated Genes	MED7
Gibbs Downregulated Genes	KHDC1
Gibbs Downregulated Genes	TRPV2
Gibbs Downregulated Genes	MAP4K3
Gibbs Downregulated Genes	RIMS1
Gibbs Downregulated Genes	ASAH1
Gibbs Downregulated Genes	PIGK
Gibbs Downregulated Genes	PPP3CB
Gibbs Downregulated Genes	UBA3
Gibbs Downregulated Genes	ANKS1B
Gibbs Downregulated Genes	F8A1
Gibbs Downregulated Genes	MAP7D1
Gibbs Downregulated Genes	KCNJ12
Gibbs Downregulated Genes	RASGEF1A
Gibbs Downregulated Genes	LYSMD1
Gibbs Downregulated Genes	NIT2
Gibbs Downregulated Genes	DNAJC12
Gibbs Downregulated Genes	MAGED1
Gibbs Downregulated Genes	NPAS1
Gibbs Downregulated Genes	GLRA2
Gibbs Downregulated Genes	OLFM1
Gibbs Downregulated Genes	MRPS12
Gibbs Downregulated Genes	RAD17
Gibbs Downregulated Genes	CLASP2
Gibbs Downregulated Genes	GPR3
Gibbs Downregulated Genes	DOC2B
Gibbs Downregulated Genes	ZNF132
Gibbs Downregulated Genes	NDUFB1
Gibbs Downregulated Genes	MRPS33
Gibbs Downregulated Genes	SULT1A1
Gibbs Downregulated Genes	FKBP1A
Gibbs Downregulated Genes	RNF41
Gibbs Downregulated Genes	ANGPTL2
Gibbs Downregulated Genes	FAM126B
Gibbs Downregulated Genes	MSANTD3
Gibbs Downregulated Genes	PSMC4
Gibbs Downregulated Genes	EIF1B
Gibbs Downregulated Genes	EIF3J
Gibbs Downregulated Genes	B9D1
Gibbs Downregulated Genes	PLPPR1
Gibbs Downregulated Genes	STMN4
Gibbs Downregulated Genes	EXOSC3
Gibbs Downregulated Genes	IL12RB2
Gibbs Downregulated Genes	B3GALNT1
Gibbs Downregulated Genes	MAPK1
Gibbs Downregulated Genes	GPCPD1
Gibbs Downregulated Genes	RBFOX2
Gibbs Downregulated Genes	MRPS5
Gibbs Downregulated Genes	HPCA
Gibbs Downregulated Genes	FUCA2
Gibbs Downregulated Genes	SLC37A3
Gibbs Downregulated Genes	NBEA
Gibbs Downregulated Genes	MANEAL
Gibbs Downregulated Genes	ARPC2
Gibbs Downregulated Genes	ARID2
Gibbs Downregulated Genes	DEPDC5
Gibbs Downregulated Genes	L3HYPDH
Gibbs Downregulated Genes	SLC12A8
Gibbs Downregulated Genes	STAM
Gibbs Downregulated Genes	RBM41
Gibbs Downregulated Genes	KCNK4
Gibbs Downregulated Genes	KPNA1
Gibbs Downregulated Genes	EXOSC5
Gibbs Downregulated Genes	HNRNPK
Gibbs Downregulated Genes	ADAMTS8
Gibbs Downregulated Genes	TPPP
Gibbs Downregulated Genes	INSIG1
Gibbs Downregulated Genes	STT3B
Gibbs Downregulated Genes	TMEM177
Gibbs Downregulated Genes	GRHPR
Gibbs Downregulated Genes	LGI2
Gibbs Downregulated Genes	FGF14
Gibbs Downregulated Genes	NRSN1
Gibbs Downregulated Genes	PLCL1
Gibbs Downregulated Genes	ADRA2A
Gibbs Downregulated Genes	RPL22
Gibbs Downregulated Genes	EIF3M
Gibbs Downregulated Genes	CYP26A1
Gibbs Downregulated Genes	GATC
Gibbs Downregulated Genes	KIAA0319L
Gibbs Downregulated Genes	UNC5D
Gibbs Downregulated Genes	C17orf80
Gibbs Downregulated Genes	CYB561
Gibbs Downregulated Genes	MRPL36
Gibbs Downregulated Genes	SDR39U1
Gibbs Downregulated Genes	HYOU1
Gibbs Downregulated Genes	PPP2R5D
Gibbs Downregulated Genes	TMX2
Gibbs Downregulated Genes	GRIN2A
Gibbs Downregulated Genes	PGRMC1
Gibbs Downregulated Genes	OPA1
Gibbs Downregulated Genes	ZDHHC13
Gibbs Downregulated Genes	HEATR3
Gibbs Downregulated Genes	UBE2E3
Gibbs Downregulated Genes	MTCL1
Gibbs Downregulated Genes	PMP22
Gibbs Downregulated Genes	GMPS
Gibbs Downregulated Genes	STRN3
Gibbs Downregulated Genes	RAN
Gibbs Downregulated Genes	CTPS1
Gibbs Downregulated Genes	SMPD1
Gibbs Downregulated Genes	SCAND1
Gibbs Downregulated Genes	GTF2H5
Gibbs Downregulated Genes	HINT3
Gibbs Downregulated Genes	BBS10
Gibbs Downregulated Genes	CHMP5
Gibbs Downregulated Genes	JUN
Gibbs Downregulated Genes	TMF1
Gibbs Downregulated Genes	ATP2C1
Gibbs Downregulated Genes	AAMP
Gibbs Downregulated Genes	TRIM35
Gibbs Downregulated Genes	SYT1
Gibbs Downregulated Genes	EBNA1BP2
Gibbs Downregulated Genes	RNF8
Gibbs Downregulated Genes	FHOD3
Gibbs Downregulated Genes	FBXO28
Gibbs Downregulated Genes	LYPD6B
Gibbs Downregulated Genes	CCNT2
Gibbs Downregulated Genes	MYDGF
Gibbs Downregulated Genes	PDCD2L
Gibbs Downregulated Genes	USP16
Gibbs Downregulated Genes	MOB4
Gibbs Downregulated Genes	NIPSNAP1
Gibbs Downregulated Genes	PIGT
Gibbs Downregulated Genes	EIF2B1
Gibbs Downregulated Genes	NOMO3
Gibbs Downregulated Genes	PKIG
Gibbs Downregulated Genes	PSMG1
Gibbs Downregulated Genes	YIPF1
Gibbs Downregulated Genes	SPSB1
Gibbs Downregulated Genes	LCLAT1
Gibbs Downregulated Genes	ZNF519
Gibbs Downregulated Genes	TADA2A
Gibbs Downregulated Genes	KCNA1
Gibbs Downregulated Genes	C9orf72
Gibbs Downregulated Genes	IMMT
Gibbs Downregulated Genes	NUDT9
Gibbs Downregulated Genes	DNM1L
Gibbs Downregulated Genes	TUBGCP4
Gibbs Downregulated Genes	VBP1
Gibbs Downregulated Genes	PPM1A
Gibbs Downregulated Genes	DET1
Gibbs Downregulated Genes	PTRH1
Gibbs Downregulated Genes	CSNK1D
Gibbs Downregulated Genes	VPS26B
Gibbs Downregulated Genes	CHMP3
Gibbs Downregulated Genes	FAM160A2
Gibbs Downregulated Genes	ICAM5
Gibbs Downregulated Genes	TMIE
Gibbs Downregulated Genes	HK1
Gibbs Downregulated Genes	GLCE
Gibbs Downregulated Genes	ABCE1
Gibbs Downregulated Genes	ACLY
Gibbs Downregulated Genes	PPP2CB
Gibbs Downregulated Genes	NOVA1
Gibbs Downregulated Genes	TSPYL1
Gibbs Downregulated Genes	CDV3
Gibbs Downregulated Genes	HIKESHI
Gibbs Downregulated Genes	MCRS1
Gibbs Downregulated Genes	NOC4L
Gibbs Downregulated Genes	GULP1
Gibbs Downregulated Genes	RSRC1
Gibbs Downregulated Genes	ARMC10
Gibbs Downregulated Genes	GRIPAP1
Gibbs Downregulated Genes	UBXN8
Gibbs Downregulated Genes	CRLS1
Gibbs Downregulated Genes	WDR17
Gibbs Downregulated Genes	CAPRIN2
Gibbs Downregulated Genes	DIP2B
Gibbs Downregulated Genes	IKBKG
Gibbs Downregulated Genes	STXBP6
Gibbs Downregulated Genes	RGS16
Gibbs Downregulated Genes	UQCC1
Gibbs Downregulated Genes	BLOC1S2
Gibbs Downregulated Genes	TAMM41
Gibbs Downregulated Genes	TM9SF1
Gibbs Downregulated Genes	TBRG4
Gibbs Downregulated Genes	TERF2
Gibbs Downregulated Genes	CSTF3
Gibbs Downregulated Genes	KBTBD4
Gibbs Downregulated Genes	NR2C2AP
Gibbs Downregulated Genes	IMMP2L
Gibbs Downregulated Genes	PDRG1
Gibbs Downregulated Genes	TRAPPC2L
Gibbs Downregulated Genes	PIK3CB
Gibbs Downregulated Genes	CRMP1
Gibbs Downregulated Genes	TMED2
Gibbs Downregulated Genes	METTL6
Gibbs Downregulated Genes	SPINT2
Gibbs Downregulated Genes	CUL2
Gibbs Downregulated Genes	C5orf22
Gibbs Downregulated Genes	MRPL20
Gibbs Downregulated Genes	APBB2
Gibbs Downregulated Genes	TDRKH
Gibbs Downregulated Genes	KIF2A
Gibbs Downregulated Genes	NME6
Gibbs Downregulated Genes	DRD1
Gibbs Downregulated Genes	SCO2
Gibbs Downregulated Genes	ELP6
Gibbs Downregulated Genes	RPL41
Gibbs Downregulated Genes	UTP18
Gibbs Downregulated Genes	EIF4E2
Gibbs Downregulated Genes	EHD3
Gibbs Downregulated Genes	LRP11
Gibbs Downregulated Genes	FAM50B
Gibbs Downregulated Genes	ZNF25
Gibbs Downregulated Genes	EXOSC6
Gibbs Downregulated Genes	FNDC4
Gibbs Downregulated Genes	MTHFD1L
Gibbs Downregulated Genes	DNAJC11
Gibbs Downregulated Genes	KCNIP4
Gibbs Downregulated Genes	LAMB3
Gibbs Downregulated Genes	DGKI
Gibbs Downregulated Genes	TBC1D5
Gibbs Downregulated Genes	RRP7A
Gibbs Downregulated Genes	DUSP6
Gibbs Downregulated Genes	HPF1
Gibbs Downregulated Genes	HNRNPH1
Gibbs Downregulated Genes	CCT6A
Gibbs Downregulated Genes	FAR2
Gibbs Downregulated Genes	UHRF2
Gibbs Downregulated Genes	DYNC2LI1
Gibbs Downregulated Genes	BCL11A
Gibbs Downregulated Genes	MEA1
Gibbs Downregulated Genes	PRR4
Gibbs Downregulated Genes	LPGAT1
Gibbs Downregulated Genes	PAFAH1B2
Gibbs Downregulated Genes	DACH2
Gibbs Downregulated Genes	PPDPF
Gibbs Downregulated Genes	TUBB8
Gibbs Downregulated Genes	WDR74
Gibbs Downregulated Genes	B3GNTL1
Gibbs Downregulated Genes	OSTF1
Gibbs Downregulated Genes	PHKB
Gibbs Downregulated Genes	SCAMP5
Gibbs Downregulated Genes	ERICH1
Gibbs Downregulated Genes	CCNA1
Gibbs Downregulated Genes	RNFT2
Gibbs Downregulated Genes	TNFAIP1
Gibbs Downregulated Genes	CEP120
Gibbs Downregulated Genes	ZDHHC14
Gibbs Downregulated Genes	ZC3H7B
Gibbs Downregulated Genes	TSNAX
Gibbs Downregulated Genes	SYT7
Gibbs Downregulated Genes	DOK5
Gibbs Downregulated Genes	DNAJA1
Gibbs Downregulated Genes	SSTR1
Gibbs Downregulated Genes	RALB
Gibbs Downregulated Genes	TRIM9
Gibbs Downregulated Genes	TMEM196
Gibbs Downregulated Genes	PSD3
Gibbs Downregulated Genes	FAM135A
Gibbs Downregulated Genes	SSR2
Gibbs Downregulated Genes	BRI3BP
Gibbs Downregulated Genes	BORCS7
Gibbs Downregulated Genes	HDDC3
Gibbs Downregulated Genes	TTL
Gibbs Downregulated Genes	NPY
Gibbs Downregulated Genes	SDCBP2
Gibbs Downregulated Genes	CNIH3
Gibbs Downregulated Genes	HSPH1
Gibbs Downregulated Genes	ACTR8
Gibbs Downregulated Genes	PUM3
Gibbs Downregulated Genes	TTLL7
Gibbs Downregulated Genes	AZIN2
Gibbs Downregulated Genes	FIS1
Gibbs Downregulated Genes	MRPL44
Gibbs Downregulated Genes	KCNIP2
Gibbs Downregulated Genes	RIC8A
Gibbs Downregulated Genes	AGTPBP1
Gibbs Downregulated Genes	ATF2
Gibbs Downregulated Genes	MRS2
Gibbs Downregulated Genes	SNRPF
Gibbs Downregulated Genes	THRAP3
Gibbs Downregulated Genes	KCNA4
Gibbs Downregulated Genes	CNBP
Gibbs Downregulated Genes	MANSC1
Gibbs Downregulated Genes	MORC3
Gibbs Downregulated Genes	TICAM1
Gibbs Downregulated Genes	NDUFAF1
Gibbs Downregulated Genes	VPS16
Gibbs Downregulated Genes	ARPP21
Gibbs Downregulated Genes	UTP14A
Gibbs Downregulated Genes	UBE2H
Gibbs Downregulated Genes	ACADSB
Gibbs Downregulated Genes	SNRPB
Gibbs Downregulated Genes	SLC35E1
Gibbs Downregulated Genes	FAF1
Gibbs Downregulated Genes	ATP2B4
Gibbs Downregulated Genes	MED19
Gibbs Downregulated Genes	ANKMY2
Gibbs Downregulated Genes	GLT1D1
Gibbs Downregulated Genes	KIAA0895
Gibbs Downregulated Genes	CYP46A1
Gibbs Downregulated Genes	YWHAB
Gibbs Downregulated Genes	DCBLD2
Gibbs Downregulated Genes	RTN3
Gibbs Downregulated Genes	FAM177A1
Gibbs Downregulated Genes	DCTPP1
Gibbs Downregulated Genes	ADAM19
Gibbs Downregulated Genes	QPCT
Gibbs Downregulated Genes	ECSIT
Gibbs Downregulated Genes	GPR162
Gibbs Downregulated Genes	LRRC75A
Gibbs Downregulated Genes	KCTD8
Gibbs Downregulated Genes	RFC2
Gibbs Downregulated Genes	ATAD2
Gibbs Downregulated Genes	PDE4B
Gibbs Downregulated Genes	PRMT8
Gibbs Downregulated Genes	STXBP1
Gibbs Downregulated Genes	POP4
Gibbs Downregulated Genes	APBB3
Gibbs Downregulated Genes	NLRP2
Gibbs Downregulated Genes	HEXA
Gibbs Downregulated Genes	DTNBP1
Gibbs Downregulated Genes	SMIM14
Gibbs Downregulated Genes	SNX12
Gibbs Downregulated Genes	SGMS1
Gibbs Downregulated Genes	COPS3
Gibbs Downregulated Genes	CLCN4
Gibbs Downregulated Genes	PSME4
Gibbs Downregulated Genes	STUB1
Gibbs Downregulated Genes	PABPC1L2A
Gibbs Downregulated Genes	SPHKAP
Gibbs Downregulated Genes	C1orf43
Gibbs Downregulated Genes	GALNT11
Gibbs Downregulated Genes	ACSL3
Gibbs Downregulated Genes	GRB2
Gibbs Downregulated Genes	RBM28
Gibbs Downregulated Genes	ANKHD1
Gibbs Downregulated Genes	HDAC9
Gibbs Downregulated Genes	PPP2R2D
Gibbs Downregulated Genes	SMYD2
Gibbs Downregulated Genes	SLC1A6
Gibbs Downregulated Genes	ELAVL2
Gibbs Downregulated Genes	PRCC
Gibbs Downregulated Genes	CPNE5
Gibbs Downregulated Genes	ACSS2
Gibbs Downregulated Genes	ASMTL
Gibbs Downregulated Genes	UPF2
Gibbs Downregulated Genes	FLRT1
Gibbs Downregulated Genes	THRA
Gibbs Downregulated Genes	CHODL
Gibbs Downregulated Genes	ZNF585B
Gibbs Downregulated Genes	MTX3
Gibbs Downregulated Genes	CBLN2
Gibbs Downregulated Genes	CELF6
Gibbs Downregulated Genes	DECR2
Gibbs Downregulated Genes	PSMD6
Gibbs Downregulated Genes	GPR27
Gibbs Downregulated Genes	GATAD2B
Gibbs Downregulated Genes	GSR
Gibbs Downregulated Genes	BBS7
Gibbs Downregulated Genes	HSPA4L
Gibbs Downregulated Genes	ATE1
Gibbs Downregulated Genes	SDHC
Gibbs Downregulated Genes	MXRA7
Gibbs Downregulated Genes	F12
Gibbs Downregulated Genes	ASTN1
Gibbs Downregulated Genes	PEX1
Gibbs Downregulated Genes	ERC2
Gibbs Downregulated Genes	BTBD8
Gibbs Downregulated Genes	ADAT1
Gibbs Downregulated Genes	HERC3
Gibbs Downregulated Genes	GALNT18
Gibbs Downregulated Genes	MTMR12
Gibbs Downregulated Genes	N4BP3
Gibbs Downregulated Genes	MACROD2
Gibbs Downregulated Genes	PINK1
Gibbs Downregulated Genes	TMEM130
Gibbs Downregulated Genes	HACD1
Gibbs Downregulated Genes	SLC25A36
Gibbs Downregulated Genes	SCN1B
Gibbs Downregulated Genes	USP30
Gibbs Downregulated Genes	GLRX2
Gibbs Downregulated Genes	TXNDC16
Gibbs Downregulated Genes	IMPDH2
Lu et al. Upregulated Genes	HIF1A
Lu et al. Upregulated Genes	CEBPD
Lu et al. Upregulated Genes	TWF1
Lu et al. Upregulated Genes	MAP3K5
Lu et al. Upregulated Genes	FGFR2
Lu et al. Upregulated Genes	IFI16
Lu et al. Upregulated Genes	NFKBIA
Lu et al. Upregulated Genes	LTBP1
Lu et al. Upregulated Genes	ERBB3
Lu et al. Upregulated Genes	FGF2
Lu et al. Upregulated Genes	PTPN13
Lu et al. Upregulated Genes	YES1
Lu et al. Upregulated Genes	TGFBR2
Lu et al. Upregulated Genes	IQGAP1
Lu et al. Upregulated Genes	BCL2
Lu et al. Upregulated Genes	S100B
Lu et al. Upregulated Genes	PECAM1
Lu et al. Upregulated Genes	TXNIP
Lu et al. Upregulated Genes	HBA1
Lu et al. Upregulated Genes	HBA2
Lu et al. Upregulated Genes	HBB
Lu et al. Upregulated Genes	HBD
Lu et al. Upregulated Genes	ANXA3
Lu et al. Upregulated Genes	NT5C2
Lu et al. Upregulated Genes	FGFR3
Lu et al. Upregulated Genes	MTRR
Lu et al. Upregulated Genes	SEPTIN4
Lu et al. Upregulated Genes	GPR137B
Lu et al. Upregulated Genes	FXYD1
Lu et al. Upregulated Genes	ZBTB20
Lu et al. Upregulated Genes	STK3
Lu et al. Upregulated Genes	TLN1
Lu et al. Upregulated Genes	SNAP23
Lu et al. Upregulated Genes	WNK1
Lu et al. Upregulated Genes	PLXNC1
Lu et al. Upregulated Genes	RHOBTB3
Lu et al. Upregulated Genes	CRYAB
Lu et al. Upregulated Genes	CFHR1
Lu et al. Upregulated Genes	CFH
Lu et al. Upregulated Genes	SFRP1
Lu et al. Upregulated Genes	ADIRF
Lu et al. Upregulated Genes	GJA1
Lu et al. Upregulated Genes	ACSBG1
Lu et al. Upregulated Genes	EFEMP1
Lu et al. Upregulated Genes	RBL2
Lu et al. Upregulated Genes	GSN
Lu et al. Upregulated Genes	COL4A5
Lu et al. Upregulated Genes	ITGB1
Lu et al. Upregulated Genes	CLK1
Lu et al. Upregulated Genes	HCRTR2
Lu et al. Upregulated Genes	ADD3
Lu et al. Upregulated Genes	SEMA3B
Lu et al. Upregulated Genes	INSR
Lu et al. Upregulated Genes	NTRK2
Lu et al. Upregulated Genes	WIPI1
Lu et al. Upregulated Genes	MFAP3L
Lu et al. Upregulated Genes	ADGRA3
Lu et al. Upregulated Genes	SSPN
Lu et al. Upregulated Genes	NIPBL
Lu et al. Upregulated Genes	CAST
Lu et al. Upregulated Genes	SPTSSA
Lu et al. Upregulated Genes	MYL12A
Lu et al. Upregulated Genes	TASOR
Lu et al. Upregulated Genes	NKX2-2
Lu et al. Upregulated Genes	PLXNB1
Lu et al. Upregulated Genes	LEPROT
Lu et al. Upregulated Genes	WWTR1
Lu et al. Upregulated Genes	EFHD1
Lu et al. Upregulated Genes	EFS
Lu et al. Upregulated Genes	CLIC4
Lu et al. Upregulated Genes	CEP170
Lu et al. Upregulated Genes	Y_RNA
Lu et al. Upregulated Genes	ALDH9A1
Lu et al. Upregulated Genes	CAV2
Lu et al. Upregulated Genes	VIM
Lu et al. Upregulated Genes	EPM2A
Lu et al. Upregulated Genes	ZCCHC24
Lu et al. Upregulated Genes	H2AC6
Lu et al. Upregulated Genes	SELENOP
Lu et al. Upregulated Genes	MYOF
Lu et al. Upregulated Genes	AHCYL1
Lu et al. Upregulated Genes	ZBTB1
Lu et al. Upregulated Genes	NEK7
Lu et al. Upregulated Genes	CD302
Lu et al. Upregulated Genes	SMC3
Lu et al. Upregulated Genes	SMC3P1
Lu et al. Upregulated Genes	PLOD2
Lu et al. Upregulated Genes	PLPP1
Lu et al. Upregulated Genes	LRIG1
Lu et al. Upregulated Genes	TP53BP2
Lu et al. Upregulated Genes	SERINC5
Lu et al. Upregulated Genes	NEBL
Lu et al. Upregulated Genes	RDX
Lu et al. Upregulated Genes	ZNF423
Lu et al. Upregulated Genes	POLR1F
Lu et al. Upregulated Genes	NXT2
Lu et al. Upregulated Genes	WFS1
Lu et al. Upregulated Genes	CETN3
Lu et al. Upregulated Genes	GAB2
Lu et al. Upregulated Genes	SPON1
Lu et al. Upregulated Genes	SLC4A4
Lu et al. Upregulated Genes	PIP4K2A
Lu et al. Upregulated Genes	IL33
Lu et al. Upregulated Genes	MYO10
Lu et al. Upregulated Genes	HEPH
Lu et al. Upregulated Genes	RAMP1
Lu et al. Upregulated Genes	ZEB2
Lu et al. Upregulated Genes	PHLPP1
Lu et al. Upregulated Genes	GIPC1
Lu et al. Upregulated Genes	OFD1
Lu et al. Upregulated Genes	VAMP3
Lu et al. Upregulated Genes	ZNF652
Lu et al. Upregulated Genes	CLASRP
Lu et al. Upregulated Genes	LRP4
Lu et al. Upregulated Genes	AHCYL2
Lu et al. Upregulated Genes	PDE4DIP
Lu et al. Upregulated Genes	VEGFA
Lu et al. Upregulated Genes	TNNT1
Lu et al. Upregulated Genes	CAV1
Lu et al. Upregulated Genes	KDSR
Lu et al. Upregulated Genes	TST
Lu et al. Upregulated Genes	TMED10
Lu et al. Upregulated Genes	MT1JP
Lu et al. Upregulated Genes	MT1E
Lu et al. Upregulated Genes	DPYSL3
Lu et al. Upregulated Genes	SLC16A1
Lu et al. Upregulated Genes	IRF7
Lu et al. Upregulated Genes	PIK3C2A
Lu et al. Upregulated Genes	GNE
Lu et al. Upregulated Genes	RIN2
Lu et al. Upregulated Genes	FERMT2
